epoch,epoch_steps,epoch_rewards,epoch_time,epoch_avg_q,total_steps,epsilon,beta,memory_len,total_run_time,dueling,noisy_net,pretraining_steps,tau
0,16,0.30000000000000004,0 days 00:00:06.632690,0.022514421,17,1,0.4,17,0 days 00:00:26.458100,True,True,5000,0.005
1,7,-0.6,0 days 00:00:02.081378,0.02859503,25,1,0.4,25,0 days 00:00:32.174615,True,True,5000,0.005
2,7,-0.6,0 days 00:00:02.082436,0.015521534,33,1,0.4,33,0 days 00:00:37.875243,True,True,5000,0.005
3,8,-0.5,0 days 00:00:02.149292,0.037722602,42,1,0.4,42,0 days 00:00:43.642517,True,True,5000,0.005
4,12,-0.10000000000000009,0 days 00:00:04.482246,0.03352239,55,1,0.4,55,0 days 00:00:51.742406,True,True,5000,0.005
5,7,-0.6,0 days 00:00:02.081621,0.027943041,63,1,0.4,63,0 days 00:00:57.443683,True,True,5000,0.005
6,7,-0.6,0 days 00:00:02.082223,0.019054167,71,1,0.4,71,0 days 00:01:03.142873,True,True,5000,0.005
7,7,-0.6,0 days 00:00:02.081948,0.02295252,79,1,0.4,79,0 days 00:01:08.842567,True,True,5000,0.005
8,13,-1.1102230246251565e-16,0 days 00:00:03.532848,0.03321644,93,1,0.4,93,0 days 00:01:15.993776,True,True,5000,0.005
9,11,-0.20000000000000007,0 days 00:00:05.449312,0.017431939,105,1,0.4,105,0 days 00:01:25.060551,True,True,5000,0.005
10,9,-0.4,0 days 00:00:03.766478,0.015237001,115,1,0.4,115,0 days 00:01:32.444359,True,True,5000,0.005
11,8,-0.5,0 days 00:00:02.149474,0.038656794,124,1,0.4,124,0 days 00:01:38.211171,True,True,5000,0.005
12,7,-0.6,0 days 00:00:02.081499,0.022943286,132,1,0.4,132,0 days 00:01:43.910844,True,True,5000,0.005
13,28,1.5000000000000009,0 days 00:00:06.067008,0.008023346,161,1,0.4,161,0 days 00:01:53.595980,True,True,5000,0.005
14,8,-0.5,0 days 00:00:02.149064,0.027727442,170,1,0.4,170,0 days 00:01:59.361765,True,True,5000,0.005
15,8,-0.5,0 days 00:00:02.149047,0.035180423,179,1,0.4,179,0 days 00:02:05.128732,True,True,5000,0.005
16,9,-0.4,0 days 00:00:02.214787,0.025981735,189,1,0.4,189,0 days 00:02:10.961962,True,True,5000,0.005
17,7,-0.6,0 days 00:00:02.083324,0.03035245,197,1,0.4,197,0 days 00:02:16.663375,True,True,5000,0.005
18,8,-0.5,0 days 00:00:02.149835,0.016701445,206,1,0.4,206,0 days 00:02:22.429214,True,True,5000,0.005
19,10,-0.30000000000000004,0 days 00:00:03.833015,0.03654855,217,1,0.4,217,0 days 00:02:29.879343,True,True,5000,0.005
20,16,0.30000000000000004,0 days 00:00:03.717230,0.026722863,234,1,0.4,234,0 days 00:02:37.214566,True,True,5000,0.005
21,19,0.6000000000000003,0 days 00:00:04.950049,0.016252186,254,1,0.4,254,0 days 00:02:45.780847,True,True,5000,0.005
22,15,0.19999999999999996,0 days 00:00:04.682509,0.009202035,270,1,0.4,270,0 days 00:02:54.080376,True,True,5000,0.005
23,27,1.4000000000000008,0 days 00:00:07.031875,0.014276138,298,1,0.4,298,0 days 00:03:04.731586,True,True,5000,0.005
24,8,-0.5,0 days 00:00:02.665548,0.024893679,307,1,0.4,307,0 days 00:03:11.013970,True,True,5000,0.005
25,7,-0.6,0 days 00:00:02.598742,0.012795633,315,1,0.4,315,0 days 00:03:17.231048,True,True,5000,0.005
26,13,-1.1102230246251565e-16,0 days 00:00:05.582518,0.0072735613,329,1,0.4,329,0 days 00:03:26.431860,True,True,5000,0.005
27,8,-0.5,0 days 00:00:02.150064,0.027054759,338,1,0.4,338,0 days 00:03:32.199400,True,True,5000,0.005
28,7,-0.6,0 days 00:00:02.599176,0.008915148,346,1,0.4,346,0 days 00:03:38.415599,True,True,5000,0.005
29,7,-0.6,0 days 00:00:02.083019,0.049760304,354,1,0.4,354,0 days 00:03:44.116752,True,True,5000,0.005
30,7,-0.6,0 days 00:00:02.081958,0.043841578,362,1,0.4,362,0 days 00:03:49.815558,True,True,5000,0.005
31,7,-0.6,0 days 00:00:02.598886,0.017273352,370,1,0.4,370,0 days 00:03:56.033391,True,True,5000,0.005
32,7,-0.6,0 days 00:00:03.116143,0.024440031,378,1,0.4,378,0 days 00:04:02.767175,True,True,5000,0.005
33,7,-0.6,0 days 00:00:02.082769,0.007660133,386,1,0.4,386,0 days 00:04:08.467695,True,True,5000,0.005
34,10,-0.30000000000000004,0 days 00:00:04.348866,0.022904916,397,1,0.4,397,0 days 00:04:16.433958,True,True,5000,0.005
35,15,0.19999999999999996,0 days 00:00:02.615245,0.018926121,413,1,0.4,413,0 days 00:04:22.667189,True,True,5000,0.005
36,7,-0.6,0 days 00:00:02.082383,0.03498685,421,1,0.4,421,0 days 00:04:28.367637,True,True,5000,0.005
